Name,Address,City,State,Code,Website,Tags
Clocktower Brewhouse,?,Ottawa,ON,?,www.clocktower.ca,brewpub
Collective Arts,?,No Fixed Address,ON,?,collectiveartsbrewing.com,gypsy_brewer
County Durham Brewing Company,?,Pickering,ON,?,durhambrewing.ca,brewery
Creemore Springs Brewery,?,Creemore Springs,ON,?,www.creemoresprings.com,brewery
Duggan's Brewery,?,Toronto,ON,?,www.duggansbrewery.com/Beer.html,brewpub
F&M Brewery,?,Guelph,ON,?,www.stonehammer.ca,brewery
Flying Monkeys Craft Brewery,?,Barrie,ON,?,www.theflyingmonkeys.ca,brewery
Forked River Brewing,?,London,ON,?,www.forkedriverbrewing.com,brewery
Ganonoque Brewing Co.,?,Gananoque,ON,?,?,brewery
Georgian Lanes,?,Parry Sound,ON,?,www.georgianlanes.com,brewpub
Gold Crown Brewing,71 King Street North,Waterloo,ON,0,?,?
Grand River Brewing,?,Cambridge,ON,?,grandriverbrewing.com,brewery
Granite Brewery,?,Toronto,ON,?,www.granitebrewery.ca,brewpub
Great Lakes Brewery,?,Toronto,ON,?,www.greatlakesbeer.com,brewery
Highlander Brew Co.,?,South River,ON,?,highlanderbrewco.com,brewery
HogsBack Brewing Co.,?,Kanata,ON,?,hogsback.ca,brewery
Hop City Brewing Co.,?,Brampton,ON,?,www.hopcity.com,brewery
Junction Craft Brewing,?,Toronto,ON,?,www.junctioncraftbrewing.com/jcb,brewery
Kensington Brewing Co.,?,Toronto,ON,?,www.kensingtonbrewingcompany.com,brewery
Kichesippi Beer Co.,?,Ottawa,ON,?,www.kbeer.ca,brewery
Kilnnan Brewing Co.,?,Owen Sound,ON,?,www.kilannanbrewing.ca,brewery
King Brewery,?,Nobleton,ON,?,www.kingbrewery.ca,brewery
La Korrigane,?,Nobleton,ON,?,www.korrigane.ca,brewpub
Labatt Ontario Breweries,150 Simcoe Street,London,ON,0,?,?
Lake of Bays Brewing Co.,?,Baysville,ON,?,lakeofbaysbrewing.ca,brewery
Lake of the Woods Brewing,?,Kenora,ON,?,lowbrewco.com,brewpub
Left Field Brewery,?,Toronto,ON,?,www.leftfieldbrewery.ca,brewery
Liberty Village Brewing,?,Toronto,ON,?,libertyvillagebeer.com,brewery
Lwenbru Munich,Toronto ON,Toronto,ON,,?,?
MacLean's Ales,?,West Grey,ON,?,www.macleansales.com,brewery
Mill St. Brewing,?,Toronto,ON,?,www.millstreetbrewery.com,brewpub
Molson Breweries of Canada,175 Bloor Street East,Toronto,ON,0,?,?
Muskoka Brewery,?,Bracebridge,ON,?,www.muskokabrewery.com,brewery
Neustadt Springs Brewery,?,Neustadt,ON,?,www.neustadtsprings.com,brewery
Niagara College Teaching Brewery,?,Niagara-on-the-Lake,ON,?,www.niagaracollegebeer.ca,training_brewery
Niagara Falls Brewing,6863 Lundy's Lane,Niagara Falls,ON,0,?,?
Nickel Brook Brewing,?,Burlington,ON,?,www.nickelbrook.ca,brewery
Northwinds Brewery,?,Collingwood,ON,?,www.northwindsbrewery.com,contract_brewer
Old Credit Brewing Co.,?,Port Credit,ON,?,www.oldcreditbrewing.com,brewery
Ontario Beer Company,?,Toronto,ON,?,?,brewery
Perth Brewery,?,Perth,ON,?,perthbrewery.ca,nanobrewery
Railway City Brewing Co.,?,St. Thomas,ON,?,www.railwaycitybrewing.com,brewery
Sawdust City Brewing,?,Gravenhurst,ON,?,www.sawdustcitybrewing.com,brewery
Scotch Irish Brewing,40 Bennett Street,Carleton Place,ON,0,?,?
Skeena Brewing Co.,?,Perth,ON,?,www.wolfgangsbeer.com,brewery
Sleeman Brewing & Malting,551 Clair Road West,Guelph,ON,0,?,?
Sleeping Giant Brewing Co.,?,Thunder Bay,ON,?,www.sleepinggiantbrewing.ca,brewery
Spearhead Brewing Company,?,Toronto,ON,?,spearheadbeer.com,contract_brewer
Stack Brewing,?,Sudbury,ON,?,stackbrewing.ca,brewery
Steam Whistle Brewery,255 Bremner Road,Toronto,ON,M5V 3M9,?,?
Steam Whistle Brewing,?,Toronto,ON,?,www.steamwhistle.ca,brewery
Stock Pot Ales,?,Ottawa,ON,?,?,brewpub
Sweetgrass Brewing,?,Guelph,ON,?,?,contract_brewer
The Lion Brewery Restaurant,?,Waterloo,ON,?,www.huetherhotel.com,brewpub
The Old Mill at Ashton Brewpub,?,Ashton,ON,?,ashtonbrewpub.ca,brewpub
The Old Stone Brewing Co.,?,Peterborough,ON,?,oldestone.ca/menu/drinks,brewpub
The Publican House Brewery,?,Peterborough,ON,?,www.thepublicanhouse.com,brewery
The Ship,?,Hamilton,ON,?,www.theship.ca,nanobrewery
Trafalgar Brewing,?,Oakville,ON,?,www.alesandmeads.com,brewery
Walkerville Brewery,?,Windsor,ON,?,www.walkervillebrewery.com,brewery
Wellington Brewery,?,Guelph,ON,?,www.wellingtonbrewery.ca,brewery
Whitewater Brewing,?,Foresters Falls,ON,?,whitewaterbeer.com,brewery
barVolo,?,Toronto,ON,?,barvolo.com,brewpub
